a'ishah	அ'யிஷா
richard sims	ரிச்சர்ட் சிம்ஸ்
richard webb	ரிச்சர்ட் வெப்
richardson	ரிச்சர்ட்சன்
richelieu	ரிச்செலியூ
richmond	ரிச்மண்ட்
richmond san rafael	ரிச்மண்ட் சான் ரபேல்
rick	ரிக்
rick darling	ரிக் டார்லிங்
ricky ponting	ரிக்கி பாண்டிங்
riddhi	ரித்தி
riddhiman	ரித்திமான்
riddle	ரிட்டில்
ridha	ரிதா
ridhdhi	ரித்தி
rifa'ah	ரிஃபாஹ்
rigg	ரிக்
riju	ரிஜ்ஜூ
rijuta	ரிஜ்ஜூதா
rik	ரிக்
rikki clarke	ரிக்கி கிளார்க்
rim jhim	ரிம் ஜிம்
rimjhim geeton ki	ரிம் ஜிம் கீதோன் கி
rinella battery	ரினெல்லா பேட்டரி
ringo star	ரிங்கோ ஸ்டார்
rio negro	ரியோ நீக்ரோ
riordan	ரியோர்தன்
ripudaman	ரிபுதமன்
rishika	ரிஷிகா
ritadhvaj	ரிதாத்வாஜ்
rite aid	ரைட் ஏய்ட்
ritu	ரிது
rituparan	ரிதுபாரன்
ritvik	ரித்விக்
rivaaj	ரிவாஜ்
river of life family	ரிவர் ஆப் லைப் பேமிலி
riverside	ரிவர்சைட்
riyaaj	ரியாஜ்
road to sikkim	ரோட் டூ சிக்கிம்
rob	ராப்
robert anderson	ராபர்ட் ஆன்டர்சன்
robert atkins	ராபர்ட் அட்கின்ஸ்
robert browning	ராபர்ட் ப்ரௌனிங்
robert croft	ராபர்ட் கிராஃப்ட்
robert fulghum	ராபர்ட் ஃபல்கம்
robert haynes	ராபர்ட் ஹெய்ன்ஸ்
robert kennedy	ராபர்ட் கென்னடி
robert laughlin	ராபர்ட் லாஃப்லின்
robert mitcham	ராபர்ட் மிட்சாம்
robert redford	ராபர்ட் ரெட்ஃபோர்ட்
robert wagner	ராபர்ட் வாக்னர்
robert williams	ராபர்ட் வில்லியம்ஸ்
roberta	ராபர்டா
robin brown	ராபின் ப்ரவுன்
robin jackman	ராபின் ஜேக்மேன்
robin singh	ராபின் சிங்
robin smith	ராபின் ஸ்மித்
robinson	ராபின்சன்
robinson christian	ராபின்சன் கிறிஸ்டியன்
robyn	ராபின்
rocco	ரோக்கோ
roch	ரோச்
rochan	ரோசன்
rock	ராக்
rock climbing	ராக் க்ளைம்பிங்
rock n roll	ராக் அன் ரோல்
rockbridge	ராக்பிரிட்ஜ்
rocket	ராக்கெட்
rockford	ராக்போர்ட்
rockingham	ராக்கிங்காம்
rod marsh	ராட் மார்ஷ்
rod serling	ராட் செர்லிங்
rodd	ராட்
rodeo	ரோடியோ
rodney	ரோட்னி
rodney hogg	ராட்னி ஹாக்
roentgenium	ரோஏன்ட்ஜீனியம்
roger harper	ரோஜர் ஹார்ப்பர்
roger telemachus	ரோஜர் டெலிமேக்கஸ்
rohini	ரோஹினி
rojok	ரொஜோக்
roland holder	ரோலண்ட் ஹோல்டர்
rolando	ரொலாண்டோ
roll	ரோல்
rollo	ரோல்லோ
rolta	ரோல்டா
romani	ரோமானி
romantic india	ரோமான்டிக் இண்டியா
romeo juliet	ரோமியோ ஜூலியட்
romesh kaluwitharana	ரொமேஷ் கலுவிதரானா
ron	ரான்
ron hart	ரான் ஹார்ட்
rona	ரோனா
ronador	ரொனடார்
ronald	ரொனால்ட்
ronna	ரோன்னா
roohi	ரூஹி
rookie of the year award	ரூக்கி ஆஃப் தி இயர் அவார்ட்
roop kahani	ரூப் கஹானி
roopakumaar	ரூபகுமார்
ros	ரோஸ்
rosa	ரோஸா
rosalie	ரோஸலி
rosamund	ரோஸமண்ட்
rose	ரோஸ்
rosemary	ரோஸ்மேரி
roshni	ரோஷ்னி
ross edwards	ராஸ் எட்வர்ட்ஸ்
ross sea	ராஸ் சீ
rossa	ரோஸ்ஸா
roti kapada aur makan	ரோட்டி கபாடா அவுர் மகான்
roti ki keemat	ரோட்டி கி கீமத்
rotterdam	ரோட்டர்டாம்
round dance	ரவுண்ட் டான்ஸ்
rowing	ரோயிங்
roy	ராய்
roy fredericks	ராய் ஃப்ரெட்ரிக்ஸ்
royal academy of arts	ராயல் அகாடெமி ஆஃப் ஆர்ட்ஸ்
royal ahold	ராயல் அஹோல்டு
royal alberta museum	ராயல் அல்பெர்டா மியூஸியம்
royal arch	ராயல் ஆர்ச்
royal bank of canada	ராயல் பேங்க் ஆப் கனடா
roza	ரோஸா
rozalia	ரோஸலியா
ruby	ருபி
ruchi	ருச்சி
ruchi soya	ருச்சி சோயா
rudi bryson	ரூடி ப்ரைசன்
rudolf nurway	ருடாலஃப் நூர்வே
rudr	ருதர்
rudraprayag	ருத்ரப்பிராயக்
rudrapriya	ருத்ரபிரியா
rufiyaa	ருஃபியா
rugby	ரக்பி
ruggiero	ருஜிரோ
ruggiero di lauria	ருக்கியாரோ டி லாரியா
rukanah	ருகனா
rukhsana	ருக்ஸானா
rukma	ருக்மா
rukmani haran	ருக்மனி ஹரன்
ruksana	ருக்சனா
ruma	ருமா
rumba	ரும்பா
rumesh ratnayake	ருமேஷ் ரத்னாயகே
rumford prize	ரம்ஃபோர்ட் ப்ரைஸ்
runako morton	ருனாகோ மார்டன்
running	ரன்னிங்
rupa	ருபா
rupali	ருபாலி
rupinder	ருபிந்தர்
rupnagar	ருப்நகர்
rupye ki kahani	ருப்யே கி கஹானி
rushd	ருஷித்
rushil	ருஷில்
russian federation	ரஷ்யன் பெட்டரேஷன்
rustom-e-baghdad	ருஸ்தம்-இ-பாக்தாத்
rutgers	ரட்கர்ஸ்
rutland	ரட்லேண்ட்
ruwayfi	ருவாய்ஃபி
ryan higgins	ரியான் ஹிக்கின்ஸ்
ryan ramdass	ரியான் ராம்தாஸ்
ryan sidebottom	ரையான் சைட்பாட்டம்
ryugyong hotel	ரியுக்யோங் ஹோட்டல்
saafale	ஸாபலே
saagu	சாகு
saahas	சாஹஸ்
saajan ki saheli	சாஜன் கி சாஹேளி
saamri	சாம்ரி
saan	சான்
saane	சானே
saaran	சாரன்
saarang	சாரங்
saarth	சார்த்
saat hindustani	சாத் ஹிந்துஸ்தானி
saat phere	சாத் பேரே
saat samunder paar	சாத் சமுந்தர் பார்
saat sawal	சாத் சவால்
saathi	சாதி
saatvik	சாத்விக்
saavitree	சாவித்ரீ
saazish	சாஸிஷ்
saba	சபா
sabadhu	சபாது
sabarkantha	சபர்கந்தா
sabarwal	சபர்வால்
sabburah	சப்புரா
sabihah	சபிஹா
sabine	சபைன்
saboot	சாபூத்
sabse bada rupaiya	சப்சே பாதா ருபையா
sabz baag	சப்ஸ் பாக்
sacchidanand	சச்சிதானந்த்
sachaai	ஸச்சாயி
sachcha jhutha	ஸச்சா ஜூதா
sachche ka bolbala	ஸச்சே கா போல்பலா
sachdeva public school pitampura	சாச்தேவா பப்ளிக் ஸ்கூல் பிதாம்புரா
sachdeva public school, rohini	சாச்தேவா பப்ளிக் ஸ்கூல், ரோஹினி
sachi	சாச்சி
sachin tendulkar	சச்சின் டெண்டுல்கர்
sachkhand	சச்கந்த்
sacred heart girls high school	சேக்ரெட் ஹார்ட் கேர்ல்ஸ் ஹை ஸ்கூல்
sacred heart senior secondary school, chandigarh	சேக்ரெட் ஹார்ட் சீனியர் செக்கன்டரி ஸ்கூல், சண்டிகர்
sada suhagan	சதா சுஹாகான்
sadagoppan	சடகோப்பன்
sadak chhap	சதக் சாப்
sadeed	சதீத்
sadhu aur shaitan	சாது அவுர் ஷைத்தான்
sadie	சடி
sadiq mohammad	சாதிக் மொஹம்மத்
sadiqah	சதிகா
sadoof	சதூஃப்
sadyojat	சத்யோஜத்
saed e havas	சயித் இ ஹவாஸ்
saeed	சயீத்
saeed azad	சயீத் ஆசாத்
saeed bin nasir	சயீத் பின் நாசிர்
safed haathi	சாஃப்பெத் ஹாத்தி
safeerah	சஃபீரா
safeway	சேப்வே
saffar	சஃபர்
saffron	சாஃபரான்
safiy-allah	சஃபி-அல்லா
safiyy	சஃபிய்
safwah	சஃப்வஹ்
safwan	சஃப்வன்
sagar	சகர்
saggai	சகாய்
saggu	சாகு
sagheer	சகீர்
sahab	சஹாப்
sahadev	சகாதேவ்
sahaja	சஹஜா
sahalpur	சஹல்பூர்
sahani	சஹானி
sahar	சஹர்
sahara	சஹாரா
saharanpur	சாஹாரன்பூர்
sahastrabaahu	சஹஸ்த்ரபாஹு
saheb	சாஹெப்
saheb bahadur	சாஹெப் பஹதூர்
sahebzade	சாஹெப்ஸாதே
saheli	சஹேலி
sahibganj	சாஹிப்கஞ்
sahim	சஹிம்
sahl	சஹ்ல்
sahlah	சஹ்லா
saholi	சஹோலி
saib	சயிப்
saidah	சைதா
sailing	செய்லிங்
saimah	சைமா
sainath	சாய்நாத்
sainbi	சைனபி
saini	சைனி
saint george's tower	செயிண்ட் ஜார்ஜ்ஸ் டவர்
saint john the baptist high school,thane	செயிண்ட் ஜான் த பாப்டிஸ்ட் ஹை ஸ்கூல், தானே
saint john's high school, chandigarh	செயிண்ட் ஜான்ஸ் ஹை ஸ்கூல், சண்டிகர்
saint joseph's boys' high school, bangalore	செயிண்ட் ஜோசப்ஸ் பாய்ஸ் ஹை ஸ்கூல், பெங்களூர்
saint joseph's senior secondary school, kanpur	செயிண்ட் ஜோஸப்ஸ் சீனியர் செக்கன்டரி ஸ்கூல், கான்புர்
saint louis	செயிண்ட் லூயிஸ்
saint michael's academy, chennai	செயிண்ட் மைக்கெல்ஸ் அகாடெமி, சென்னை
saint olavs medal with oak branch	செயிண்ட் ஒலாவ்ஸ் மெடல் வித் ஓக் ப்ரான்ச்
saint thomas tower	செயிண்ட் தோமஸ் டவர்
saint xaviers's school, chandigarh	செயிண்ட் ஸேவியர்ஸ் ஸ்கூல், சண்டிகர்
sainte marie	செயிண்ட் மேரி
sairah	சைரா
sajan	சஜன்
sajeewa de silva	சஜீவா டி சில்வா
saji	சாஜி
sajid ali	சஜித் அலி
sajjad	சஜ்ஜத்
sajjad ahmed	சாஜ்ஜாத் அஹ்மத்
sajjad akbar	சஜ்ஜத் அக்பர்
sajjanpur	சஜ்ஜன்பூர்
sakal	சகால்
sakhi	சகி
sakhi robin	சகி ராபின்
sakinah	சகினா
salaabatpura	சாலபத்புரா
salado	சலடோ
salah	சலா
salahuddin ahmed	ஸாலாஹுத்தின் அஹ்மத்
salakhen	சலாகென்
salam	சலாம்
salam bombay	சலாம் பாம்பே
saleem malik	சலீம் மாலிக்
salem	சேலம்
salene	சலேனே
salgirah	சால்கிராஹ்
salifah	சலிஃபா
salik	சலிக்
salila	சலிலா
salilesh	சலிலேஷ்
salim	சலிம்
salim langde pe mat ro	சலிம் லாங்டே பே மாத் ரோ
salima	சலிமா
salimah	சலிமா
salman	சல்மான்
salvatore	சல்வதோர்
salwa	சல்வா
samadhi	சமாதி
samaj	சமாஜ்
samajh	சமஜ்
saman jayantha	சமன் ஜெயந்தா
samara	சமரா
samarah	சமரா
samarendra	சம்ரேந்திரா
samarium	சாமாரியம்
samarth	சமர்த்
samasya	சம்ஸ்யா
samavart	சமவர்த்
samayapuram	சமயபுரம்
sambandh	சம்பந்த்
sambhawana	சம்பவ்னா
sameenah	சமீனா
sameera	சமீரா
samidha	சமிதா
samirah	சமிரா
samita	சமிதா
samjhauta	சம்ஜோதா
samosir	சாமோசிர்
sampada	சம்பதா
sampat	சம்பத்
sampatti	சம்பதி
sampriti	சம்பிரிதி
samrat	சம்ராத்
samrat ashok	சம்ரத் அஷோக்
samrat chandragupt	சம்ரத் சந்திரகுப்த்
samtel color	சாம்டெல் கலர்
samudra	சமுத்ரா
samudragupta	சமுத்ரகுப்தா
samuel johnson prize	சாமுவேல் ஜான்சன் ப்ரைஸ்
samuel taylor coleridge	சாமுவேல் டெய்லர் கோலேரிட்ஜ்
san diego	சன் டீகோ
san francisco oakland bay	சன் பிரான்சிஸ்கோ ஓக்லேண்ட் பே
san gabriel	சான் கேப்ரியல்
san jacinto	சான் ஜாசின்டோ
san juan	சான் ஜுவான்
san mateo	சன் மேடோ
san matias	சான் மாடியாஸ்
san pablo bay	சன் பாப்லோ பே
sana	சனா
sanaa	சனா
sanam	சனம்
sananda	சனந்தா
sanat	சனத்
sanath jayasuriya	சனத் ஜெயசூர்யா
sanath kaluperuma	சனத் கலுபெருமா
sanaubar	சனௌபார்
sanchit	சஞ்சித்
sandal	சான்டல்
sandeep patil	சந்தீப் பட்டில்
sandhar	சாந்தர்
sandhi	சந்தி
sandhu	சாந்து
sandhya chhaya	சந்தியா சாயா
sandhyanand	சந்தியானந்த்
sandipika	சந்தீபிகா
sandra day o'connor	சாண்ட்ரா டே ஓ'கானர்
sandro	சான்ட்ரோ
sanduri	சந்தூரி
sanford	சான்ஃபோர்ட்
sanganer	சங்கனெர்
sangdil	சங்தில்
sangdil samaj	சங்தில் சமாஜ்
sangeet samrat tansen	சங்கீத் சம்ரத் டான்சென்
sanghera	சங்கேரா
sanghod	சங்கோத்
sangli	சான்கிலி
sanjana	சஞ்சனா
sanjay bangar	சஞ்சய் பங்கர்
sanjay manjrekar	சஞ்சய் மஞ்சிரேக்கர்
sanjeev sharma	சஞ்சீவ் ஷர்மா
sanjeeva	சஞ்சீவா
sanjh ki bela	சன்ஜ் கி பேலா
sanjog	சஞ்சோக்
sanjukta	சஞ்சுக்தா
sanjushree	சஞ்சுஸ்ரீ
sankalp	சங்கல்ப்
sannata	சன்னாடா
sanne	சான்னே
sanor	சனோர்
sans pareil	சான்ஸ் பாரேயில்
sanskar	சன்ஸ்கர்
sant raghu	சன்த் ராகு
sant ravidas ki amar kahani	சன்த் ரவிதாஸ் கி அமர் காஹானி
sant tulsidas	சன்த் துல்சிதாஸ்
santa lucia	சான்டா லூசியா
santa monica	சான்டா மோனிகா
santa susana	சான்டா சூசன்னா
santan	சன்த்தன்
santayani	சந்தயானி
santhal pargana	சன்தல் பர்கானா
santosh	சந்தோஷ்
santushti	சந்துஷ்டி
santwana	சந்த்வனா
sanvali	சன்வலி
sanyakta	சன்யக்தா
saparna	சபர்னா
sappal	சப்பல்
sapre	சாப்ரே
saptakoteshwar	சப்தகோடேஷ்வர்
sara lee	சாரா லீ
sarabande	சராபான்டெ
sarabdev	சரப்தேவ்
sarabnam	சரப்னம்
sarai ke bahar	சாரை கே பாஹர்
sarakatsanoi folklore museum	சராகோட்சனாய் ஃப்போக்லோர் மியூஸியம்
saran	சரண்
sarang	சரங்
sarangi	சாரங்கி
saranya	சரண்யா
saras	சரஸ்
sarasi	சரஸி
sarasija	சரஸிஜா
sarasvat	சரஸ்வத்
saraswati	சரஸ்வதி
sarbajit	சர்பஜித்
sardana	சர்தானா
sardar patel vidyalaya, new delhi	சர்தார் பட்டேல் வித்யாலயா, நியூ டெல்லி
sardegna	சார்டெக்னா
saregama india	சரிகம இந்தியா
sarfarosh	சரஃப்பரோஷ்
sarhad	சர்ஹாத்
sarhaddi	சர்ஹாதி
sarhindi	சர்ஹிந்தி
sarit	சரித்
sarkar	சர்க்கர்
sarla	சர்லா
sarmad	சர்மத்
sarminder	சர்மிந்தர்
sarnath	சார்நாத்
saroja	சரோஜா
sarojini naidu	சரோஜினி நாயுடு
sarolkar	சரோல்கர்
sartaj	சர்தாஜ்
sarwar	சர்வார்
sarwari	சர்வாரி
sarwate	சர்வதே
saryu	சர்யு
sasar naiya	சாஸர் நையா
saskatchewan	சாஸ்கட்சுவன்
sassi punnu	சாஸி புன்னு
sasural	சாஸுரல்
satah se uthata adami	சதஹ் செ உதாடா அதாமி
sathanur reservoir	சாத்தனூர் ரிசர்வாயர்
sati	சதி
sati madalasa	சதி மடல்ஸா
sati nagkanaya	சதி நாக்கனாயா
sati pariksha	சதி பரிக்ஷா
sati pingala	சதி பிங்காலா
sati renuka	சதி ரேனுகா
sati sulochana	சதி சுலோச்சனா
sati vaishalini	சதி வைஷாலினி
satin	சடின்
satinderpal	சதிந்தர்பால்
satindra	சதிந்திரா
satish gujral	சதிஷ் குஜ்ரால்
satna	சட்னா
satnam overseas	சத்னம் ஓவர்சீஸ்
saturn	சாட்டர்ன்
satya	சத்யா
satyadev	சத்யதேவ்
satyakam	சத்யகம்
satyanaaraayan	சத்யநாராயண்
satyanarayan	சத்யனாராயன்
satyendra	சத்யேந்திரா
satywan savitri	சத்யவான் சாவித்ரி
sau saal baad	செள ஸால் பாத்
saubal	சௌபல்
saubhagya	செளபாக்யா
saud	சௌத்
saudaa	செளதா
saudamini	சோதாமினி
saudanttikar	சவுதன்திகர்
saugandh	சோகாந்த்
saujan_y	சௌஜன்ய்
saunders	சவுன்டெர்ஸ்
savitri	சாவித்ரி
savoie	சாவோயி
sawa	சவா
sawaal	சாவால்
sawan aya re	சாவன் அயா ரே
sawan ke geet	சாவன் கே கீத்
sawatch	சவாட்ச்
sawen	சாவென்
sawlat	சவ்லத்
saxon shore forts	சாக்ஸான் ஷோர் ஃப்போர்ட்ஸ்
sayf	சயிஃப்
sayfiyy	சய்ஃபி
saymukta karnataka	சய்முக்தா கர்னாட்டக்கா
sayyidah	சய்யிதா
saz	சாஸ்
saza e maut	சாஸா இ மெளத்
sazaa	சாஸா
scailex corporation	ஸ்கைலெக்ஸ் கார்ப்பரேஷன்
schell creek	ஷெல் கிரீக்
schilde	ஷில்டே
schlesien	ஸ்லேசேய்ன்
schnieder electric	ஷ்னைடர் எலக்ட்ரிக்
schooten	ஷூடென்
schopenhauer	ஷோபென்ஹாயர்
schwaben	ஷ்வாபென்
scopus video networks	ஸ்கோபஸ் வீடியோ நெட்வொர்க்ஸ்
score	ஸ்கோர்
scotia plaza	ஸ்கோதியா பிளாஸா
scott	ஸ்காட்
scottish church college, calcutta	ஸ்காட்டிஷ் சர்ச் காலேஜ், கல்கட்டா
scottish football museum	ஸ்காட்டிஷ் ஃப்பூட்பால் மியூஸியம்
scout	ஸ்கௌட்
scouts	ஸ்கௌட்ஸ்
scrots	ஸ்க்ராட்ஸ்
sea of azove	சீ ஆப் அசோவ்
sea of crete	சீ ஆப் கிரெடி
sea of japan	சீ ஆப் ஜப்பான்
seadoo	சீடூ
seagram	சீக்ராம்
seamus	சிமஸ்
sean davies	சீன் டேவிஸ்
sean pan	சீன் பான்
sean williams	சீன் வில்லியம்ஸ்
seanna	சியன்னா
season	சீதா
sebille	செபில்லி
seedha raasta	சீதா ராஸ்தா
seema	சீமா
seemaa	சீமா
seemant	சீமந்த்
seemantini	சீமந்தினி
seemeen	சீமீன்
seeta	சீதா
seeta swayamvar	சீதா ஸ்வயம்வர்
seetaasaran	சியன்னா
seif	சிஃப்
sej piya ki	சேர் பியா கி
selaqui world school, dehradun	செலாகி வோர்ல்ட் ஸ்கூல், டெஹ்ராடூன்
selene	செலினி
selkirk	செல்கிர்க்
semanti	செமன்டி
senapati	சேனாபட்டி
sene	செனெ
seoras	சியோரஸ்
sepik flutes kanengara	செபிக் ஃப்ளூட்ஸ் கனேங்கரா
september	செப்டம்பர்
serena	செரினா
serengeti	செரெண்கேட்டி
serenity	செரினிட்டி
sereno	செரினோ
seringapatam	செரிங்காபாடம்
serra da capivara	செர்ரா டா கேப்பிவாரா
serra do divisor	செர்ரா டோ டிவைசர்
sesa goa	சேசா கோவா
seva sadan	சேவா சாதன்
sevaaram	செவாராம்
sevaraam	செவாராம்
sevaram	செவாராம்
seven years' war	செவன் இயர்ஸ் வார்
seventies	செவண்டீஸ்
severino	செவெரினோ
sevilla	செவில்லா
sevita	செவிதா
sew shivnarine	சியூ ஷிவ்நாராய்ண்
sewnarine chattergoon	சியூநாராய்ண் சேட்டர்கூன்
seymour	செய்மோர்
seyyed hossein nasr	செய்யத் ஹோசெய்ன் நாஸ்ர்
shaadaab	ஷதாப்
shaalinee	ஷாலினீ
shaan_ti	ஷாந்தி
shaankar	ஷங்கர்
shaayad	ஷாயாத்
shabah	ஷபா
shabari	ஷபரி
shabash daddy	ஷபாஷ் டாடி
shabb	ஷப்
shabbeer	ஷப்பீர்
shabeehah	ஷபீஹா
shabri	ஷப்ரி
shad	ஷத்
shadab kabir	ஷடாப் கபீர்
shaddi ka mamla	ஷாத்தி கா மாம்லா
shadha	ஷதா
shadyanta	ஷாதியன்தா
shafaat	ஷஃபாத்
shafee	ஷஃபீ
shafiek abrahams	ஷஃபீக் ஆப்ரஹாம்ஸ்
shagufa	ஷாகுஃப்பா
shagufta	ஷகுஃப்தா
shah e iran	ஷா இ ஈரான்
shah e misar	ஷா இ மிஸார்
shahaane	சஹானி
shahajaadee	ஷஹஜாதீ
shahar se door	ஷாஹர் சே தூர்
shaheedur rahman	ஷாஹீதுர் ரஹ்மான்
shaheen	ஷாஹீன்
shaheer	ஷஹீர்
shahenshah	ஷாஹென்ஷா
shahi chor	ஷாஹி சோர்
shahi farman	ஷாஹி ஃப்பர்மான்
shahida	ஷாஹிதா
shahidah	ஷாஹிதா
shahirah	ஷாஹிரா
shahjahanpur	ஷாஜாஹான்பூர்
shahla	ஷாஹ்லா
shahnaz	ஷஹ்னாஸ்
shahriar hossain	ஷாஹ்ரியர் ஹோஸ்ஸென்
shahriar nafees	ஷாஹ்ரியர் நஃப்பீஸ்
shahrukh	ஷாருக்
shail sutaa	ஷைல் சுதா
shaili	ஷைலி
shaitan ka pash	ஷைத்தான் கா பாஷ்
shaitani ilaaka	ஷைத்தானி இலாகி
shajee'ah	ஷாஜீயா
shake hands	ஷேக் ஹாண்ட்ஸ்
shakir	ஷகிர்
shakun	ஷகுன்
shakuni	ஷகுனி
shalaakaa	ஷலாகா
shalaka	ஷலகா
sham savera	ஷாம் சவேரா
shama	ஷமா
shamashaad	ஷமாஷாத்
shambhavi	ஷாம்பவி
shambhu	ஷாம்பு
shambhu maharaj	சாம்பு மஹராஜ்
shameem	ஷமீம்
shamel	ஷமெல்
shamir optical industry	ஷமிர் ஆப்டிக்கல் இண்டஸ்டிரி
shamisen	ஷமிசென்
shamita	ஷமிதா
shamoodah	ஷமூதா
shampa	ஷம்பா
shams	ஷம்ஸ்
shamsher	ஷாம்ஷெர்
shan creek community bible	ஷன் கிரீக் கம்யூனிட்டி பைபிள்
shan e hatim	ஷான் இ ஹாதிம்
shan-e-hind	ஷான்-இ-ஹிந்த்
shandaar	ஷான்தார்
shane lee	ஷேன் லீ
shane warne	ஷேன் வார்ன்
shane watson	ஷேன் வாட்சன்
shankar khan	ஷங்கர் கான்
shankar seeta anusuya	ஷங்கர் சீத அனுசுயா
shankhamala	ஷங்கமாலா
shanpaak	ஷன்பக்
shanpak	ஷண்பக்
shanta	ஷாந்தா
shanti	ஷாந்தி
shaqeeqah	ஷகீகா
shaque	ஷாக்
sharaafat	ஷராஃபத்
sharad	ஷரத்
sharafat	ஷராஃபத்
sharafat chhod di maine	ஷாராஃப்பத் சோத் தி மைனே
sharan	ஷரன்
sharanyu	ஷரண்யு
sharara	ஷராரா
sharat	ஷரத்
shareef	ஷரீஃப்
shareef badmash	ஷரீஃப் பாத்மாஷ்
shareek	ஷரீக்
sharif	ஷரிஃப்
sharifah	ஷரீஃபா
sharika	ஷரிகா
shariq	ஷரிக்
shariqah	ஷரிகா
shark	ஷார்க்
sharla	ஷர்லா
sharlene	ஷெர்லீன்
sharma	சர்மா
sharmeeli	ஷர்மீலி
sharmila	ஷர்மிலா
sharmistha	ஷர்மிஸ்தா
sharp	ஷார்ப்
shart	ஷார்த்
sharvani	ஷர்வானி
shashiprabh	ஷஷிபிரபா
shashiprabhaa	ஷஷிபிரபா
shastrabuddhe	ஷாஸ்த்ரபுத்தே
shasun chemical	ஷாசன் கெமிக்கல்
shataansh	ஷதான்ஷ்
shataayu	ஷதாயு
shatadhaar	ஷததார்
shatarupa	ஷதருபா
shatee	ஷதீ
shatranj	ஷாத்ராஞ்
shatru	ஷத்ரு
shatrudaman	ஷத்ருதமன்
shatrujetaa	ஷத்ருஜேதா
shaun	ஷௌன்
shaun pollock	ஷான் பொல்லாக்
shaun udal	ஷுவான் உடால்
shaurya chakra	ஷௌர்ய சக்ரா
shaw prize	ஷா ப்ரைஸ்
shawm	ஷாம்
shawn	ஷான்
shaylee	ஷைலீ
sheadon	ஷியாடன்
sheena	ஷீனா
sheesh	ஷீஷ்
sheetalaa	ஷீடலா
shefalika	செஃபாலிகா
shehar aur sapna	ஷீஹார் அவுர் சப்னா
shehryaar	ஷெஹ்ரியார்
shejali	ஷேஜலி
shekel	ஷேக்கல்
shel	ஷெல்
shelagh	ஷெலாக்
shelling	ஷெல்லிங்
shenandoah	ஷெனான்டோஹ்
sher shivaji	ஷேர் ஷிவாஜி
sherburne	ஷெர்பர்னெ
sherdil	ஷேர்தில்
shergill	ஷெர்கில்
sherin	ஷெரின்
sherlock	ஷெர்லாக்
sheroo	ஷெரூ
sherwood	ஷெர்வுட்
shesh naag	ஷேஷ் நாக்
shevanti	ஷெவந்தி
shidhore	ஷிதோரே
shiela	ஷீலா
shifa	ஷிஃபா
shihab	ஷிஹாப்
shikast	ஷிகாஸ்த்
shilaajeet	ஷிலாஜீத்
shilavati	ஷீலாவதி
shilpee	ஷில்பீ
shilpita	ஷில்பிதா
shimizu	ஷிமிஸு
shimmy	ஷிம்மி
shinano	ஷினானோ
shinda	ஷிந்தா
shindi	ஷிந்தி
shinjini	ஷிஞ்சினி
shintre	ஷின்த்ரே
shinyo	ஷின்யோ
shireesh	ஷிரீஷ்
shirin	ஷிரின்
shirina	ஷிரினா
shirley temple black	ஷிர்லி டெம்பிள் ப்ளாக்
shirlyn	ஷிர்லின்
shishir	ஷிஷிர்
shishiraant	ஷிஷிராந்த்
shitut	ஷிதுத்
shiv	ஷிவ்
shiv bhakta	ஷிவ் பக்தா
shiv charan	ஷிவ் சரண்
shiv ganga	ஷிவ் கங்கா
shiv leela	ஷிவ் லீலா
shiv nandan	ஷிவ் நந்தன்
shiv sunder das	ஷிவ் சுந்தர் தாஸ்
shivakumaar	ஷிவகுமார்
shivangi	ஷிவங்கி
shivaprataap	ஷிவபிரதாப்
shivekar	சிவேகர்
shivhar	ஷிவ்ஹார்
shivnarine chanderpaul	ஷிவ்நாராய்ண் சந்தர்பால்
shoaib akhtar	ஷோயப் அக்தர்
shoaib mohammad	ஷோயப் மொஹம்மத்
shobhana	சோபனா
shobna	ஷோப்னா
shodh	ஷோத்
shoeb	ஷோப்
shoho	ஷோஹோ
shohrat	ஷோஹ்ரத்
shokaghn	ஷோககன்
shokhiyan	ஷோகியான்
shola aur shabnam	ஷோலா அவுர் ஷப்னம்
shola jo bhadke	ஷோலா ஜோ பாட்கே
shoorveer	ஷூர்வீர்
shor	ஷோர்
shoreham redoubt	ஷோர்ஹாம் ரீடவுட்
shoshone	ஷோஷோன்
shotput	ஷாட்புட்
shraddha	ஷரத்தா
shradhdhaa	ஷரத்தா
shravana	ஷரவனா
shravani	ஷரவனி
shravastinagar	ஷ்ரவஸ்திநகர்
shree ganesh	ஸ்ரீ கணேஷ்
shree ganesh vivah	ஸ்ரீ கணேஷ் விவாஹ்
shree krishna leela	ஸ்ரீ கிருஷ்னா லீலா
shree ram avtar	ஸ்ரீ ராம் அவ்தார்
shreekrashn	ஸ்ரீகிரஷண்
shreenaath	ஸ்ரீநாத்
shrey	ஷ்ரேய்
shreya	ஷ்ரேயா
shridhar	ஸ்ரீதர்
shridula	ஸ்ரீதுலா
shrigeeta	ஸ்ரீகீதா
shrihari	ஸ்ரீஹரி
shrikrushna	ஸ்ரீகிருஷ்ணா
shrilakshmi	ஸ்ரீலக்ஷ்மி
shrilata	ஸ்ரீலதா
shrilekha	ஸ்ரீலேகா
shriman shrimati	ஸ்ரீமான் ஸ்ரீமதி
shrimat	ஸ்ரீமத்
shrinath	ஸ்ரீநாத்
shripad	ஸ்ரீபத்
shripati	ஸ்ரீபதி
shriram	ஸ்ரீராம்
