AA GALE LAG JA	ஆ கலே லாக் ஜா
RAKHAD	ரகத்
RAKHDA	ரகதா
RAKHDIAN	ரக்தியன்
RAKHI KI SAUGANDH	ராக்கி கி செளகந்த்
RAKHSHAN	ரக்ஷான்
RALEIGH	ராலெய்க்
RALLIS INDIA	ரேலிஸ் இந்தியா
RALPH	ரால்ப்
RAM	ராம்
RAM AUR SHYAM	ராம் அவுர் ஷியாம்
RAM AVTAR	ராம் அவ்தார்
RAM BHAKT HANUMAN	ராம் பக்த் ஹனுமான்
RAM DARSHAN	ராம் தர்ஷன்
RAM JANMA	ராம் ஜன்மா
RAM KASAM	ராம் காஸம்
RAM LAKHAN	ராம் லக்கான்
RAM RAJYA	ராம் ராஜ்யா
RAM TERE KITNE NAAM	ராம் தேரா கித்னே நாம்
RAM TERI GANGA MAILI	ராம் தேரி கங்கா மைலி
RAM VIVAH	ராம் விவாஹ்
RAMA LINGESHWARA	ராம லிங்கேஷ்வர
RAMA NEWSPRINT	ராமா நியூஸ்ப்ரிண்ட்
RAMA O RAMA	ராமா ஓ ராமா
RAMAAKAANT	ரமாகந்த்
RAMADAN	ரமதன்
RAMAKANT	ரமாகாந்த்
RAMAN	ராமன்
RAMANADHI RESERVOIR	ரமாநதி ரிசர்வாயர்
RAMANEEK	ரமனீக்
RAMAPO	ராமாபோ
RAMAPPA	ராமப்பா
RAMASHRAY	ராமஷ்ராய்
RAMAYANA	ராமாயனா
RAMBHA	ரம்பா
RAMCHANDR	ராம்சந்தர்
RAMCO SYSTEM	ராம்கோ சிஸ்டம்
RAMCOIND	ராம்கோ இண்ட்
RAMDOOT	ராம்தூத்
RAMESH	ரமேஷ்
RAMESH POWAR	ரமேஷ் போவார்
RAMGADIA	ராம்காதியா
RAMI DHOBAN	ராமி தோபன்
RAMINDER	ரமிந்தர்
RAMISH	ரமிஷ்
RAMIZ	ரமிஸ்
RAMJEET	ராம்ஜீத்
RAMKISHORE	ராம்கிஷோர்
RAMKRISHNA	ராமகிருஷ்ணா
RAMKUMAR	ராம்குமார்
RAMNARESH SARWAN	ராம்நரேஷ் சர்வாண்
RAMON	ரமோன்
RAMONA	ரமோனா
RAMPRASAD	ராம்பிரசாத்
RAMPUR	ராம்பூர்
RAMRATAN	ராம்ரதன்
RAMSWAROOP	ராமஸ்வரூப்
RAMU DADA	ராமு தாதா
RAMU USTAD	ராமு உஸ்தத்
RAN SANGRAM	ரான் சங்ராம்
RANADE	ரனடே
RANADURGAA	ரனதுர்கா
RANAVEER	ரனவீர்
RANBAXY LABS	ரேன்பேக்ஸி லேப்ஸ்
RANCHI EXPRESS	ரான்சி எக்ஸ்பிரஸ்
RAND	ராண்ட்
RANDAL	ரந்தல்
RANDALL	ராண்டல்
RANDHAWA	ராந்த்வா
RANDHIR SINGH	ரந்திர் சிங்
RANDILYN	ராண்டில்யன்
RANDOLPH	ராண்டோல்ப்
RANDY	ராண்டி
RANE BRAKE	ரானே ப்ரேக்
RANESH	ரனேஷ்
RANGEELA	ரங்கீலா
RANGEELA RAJA	ரங்கீலா ராஜா
RANGEEN KAHANI	ரங்கீன் கஹானி
RANGEEN ZAMANA	ரங்கீன் ஸமானா
RANGILA RAJASTHAN	ரங்கிலா ராஜஸ்தான்
RANGILE DOST	ரங்கிலே தோஸ்த்
RANGLE	ரங்கில்
RANGNATH	ரங்கநாத்
RANGNATHAR	ரங்கநாதர்
RANGOON	ரங்கூன்
RANI AUR JANI	ராணி அவுர் ஜானி
RANITA	ரனிதா
RANJANEE	ரஞ்சனீ
RANJEET	ரஞ்சித்
RANJINI	ரஞ்சனி
RANJITH MADURASINGHE	ரஞ்சித் மதுரசிங்கே
RAPTI	ரப்தி
RAPUGHAN	ரபுகன்
RASESH	ரஸெஷ்
RASHID	ரஷித்
RASHID LATIF	ரஷீத் லத்தீஃப்
RASHID PATEL	ரஷித் பட்டேல்
RASHIDA	ரஷிதா
RASIK	ரசிகா
RASIKA	ரசிகா
RASTE AUR MANZIL	ராஸ்தே அவுர் மன்ஸில்
RASTE AUR RISHTE	ராஸ்தே அவுர் ரிஷ்டே
RASTE PYAR KE	ராஸ்தே பியார் கெ
RATAN	ரதன்
RATAN DEEP	ரதன் தீப்
RATAN MANJARI	ரதன் மஞ்சாரி
RATNA	ரத்னா
RATNA LUTARI	ரத்னா லுதாரி
RATNABALA	ரத்னபாலா
RATNABALI	ரத்னபாலி
RATNABH	ரத்னப்
RATNAKAR	ரத்னகர்
RATNAPARKHI	ரத்னாபர்கி
RATON KA RAJA	ராதோன் கா ராஜா
RATOWAL	ரதோவால்
RATUL	ரதுல்
RAVEN	ரவேன்
RAVI SHASTRI	ரவி ஷாஸ்த்ரி
RAVIKIRAN	ரவிகிரண்
RAVINDR	ரவிந்தர்
RAVINDRA	ரவிந்திரா
RAVIN_DAR	ரவீந்தர்
RAVIPRABHA	ரவிபிரபா
RAVIVANSHEE	ரவிவன்ஷீ
RAWAAL	ரவால்
RAWAHAH	ரவஹாஹ்
RAY BRIGHT	ரே பிரைட்
RAY ILLINGWORTH	ரே இல்லிங்வர்த்
RAY PRICE	ரே ப்ரைஸ்
RAYBAN SUN	ரேபேன் சன்
RAYYAN	ரய்யன்
RAZIA SULTANA	ராஸியா சுல்தானா
RE DI PORTOGALLO	ரே டி போர்டோகாலோ
RED ROSE	ரெட் ரோஸ்
RED SIGNAL	ரெட் சிக்னல்
REDDYS LABS	ரெட்டிஸ் லேப்ஸ்
REDPATH MUSEUM	ரெட்பாத் மியூஸியம்
REECE	ரீஸ்
REEDSPORT CHRISTIAN	ரீட்ஸ்போர்ட் கிறிஸ்டியன்
REEN	ரீன்
REEVES	ரீவ்ஸ்
REFUGEE	ரெஃப்யூஜீ
REGHE	ரெகே
REGINA	ரெஜினா
REGINA ELENA	ரெஜினா இலெனா
REGINA MARGHERITA	ரெஜினா மார்கெரிடா
REGINALD	ரெஜினால்ட்
REGIS	ரெஜிஸ்
REHANA	ரெஹானா
REKHAA	ரேகா
RELF	ரெலஃப்
RELIANCE	ரிலையன்ஸ்
RENATA	ரெனதா
RENAULT	ரினால்ட்
RENDOR	ரென்டர்
RENE	ரெனெ
RENE-LEVASSEUR	ரேனே-லேவஸியர்
RENEE ZELLWEGER	ரெனீ ஸெல்வேகர்
RENGUZAR	ரெங்குஸார்
RENO	ரேனோ
RENU	ரேணு
RENUKA	ரேணுகா
RENVILLE	ரென்வில்லெ
REON KING	ரியோன் கிங்
REPORTER RAJU	ரிப்போர்ட்டர் ராஜூ
REPRISAL	ரிபிரைசல்
REPUBLIC PLAZA	ரிபப்ளிக் பிளாஸா
REPUBLIQUE	ரிப்பப்ளிக்
REQUIN	ரிகுயின்
REQUINTO	ரேக்விண்டோ
RESEARCH IN MOTION LIMITED	ரிசர்ச் இன் மோஷன் லிமிடெட்
RESHAM KI DORI	ரேஷாம் கி தோரி
RESHMA	ரேஷ்மா
RESHMI RUMAL	ரேஷ்மி ருமால்
RESTORATION	ரெஸ்டோரேஷன்
RESURRECTION LUTHERAN	ரிசரக்ஷன் லுதெரன்
RET MAHAL	ரேத் மஹால்
RETALIX	ரிட்டாலிக்ஸ்
REVOLT IN THE VENDEE	ரிவோல்ட் இன் த வென்டீ
REWA	ரீவா
REX	ரெக்ஸ்
REXAM	ரெக்ஸாம்
REYNOLDS	ரேனால்ட்ஸ்
RHEINLAND	ரேய்ன்லாண்ட்
RHENIUM	ரேனியம்
RHIANNON	ரயன்னன்
RHON	ரோன்
RHOSLYN	ரோஸ்லின்
RIANNA	ரியன்னா
RIANNE	ரியன்னா
RICARDO POWELL	ரிக்கார்டோ பாவெல்
RICHAPAAL	ரிச்சாபால்
RICHARD AUSTIN	ரிச்சர்ட் ஆஸ்டின்
RICHARD BLAKEY	ரிச்சர்ட் பிலேகே
RICHARD DE GROEN	ரிச்சர்ட் டி கிரோயென்
RICHARD ELLISON	ரிச்சர்ட் எல்லிசன்
RICHARD ILLINGWORTH	ரிச்சர்ட் இல்லிங்வர்த்
RICHARD SIMS	ரிச்சர்ட் சிம்ஸ்
RICHARD WEBB	ரிச்சர்ட் வெப்
RICHARDSON	ரிச்சர்ட்சன்
RICHELIEU	ரிச்செலியூ
RICHMOND SAN RAFAEL	ரிச்மண்ட் சான் ரபேல்
RICK	ரிக்
RICK DARLING	ரிக் டார்லிங்
RICKY PONTING	ரிக்கி பாண்டிங்
RIDDHIMAN	ரித்திமான்
RIDDLE	ரிட்டில்
RIDHA	ரிதா
RIDHDHI	ரித்தி
RIDLEY JACOBS	ரிட்லி ஜேக்கப்ஸ்
RIFA'AH	ரிஃபாஹ்
RIJU	ரிஜ்ஜூ
RIJUTA	ரிஜ்ஜூதா
RIK	ரிக்
RIKKI CLARKE	ரிக்கி கிளார்க்
RIM JHIM	ரிம் ஜிம்
RIMJHIM GEETON KI	ரிம் ஜிம் கீதோன் கி
RINELLA BATTERY	ரினெல்லா பேட்டரி
RINGGIT	ரிங்கிட்
RINGO STAR	ரிங்கோ ஸ்டார்
RIO NEGRO	ரியோ நீக்ரோ
RIORDAN	ரியோர்தன்
RIPUDAMAN	ரிபுதமன்
RISHIYAKETU	ரிஷியகேது
RISHTA KAGAZ KA	ரிஷ்டா காகாஸ் கா
RITADHVAJ	ரிதாத்வாஜ்
RITE AID	ரைட் ஏய்ட்
RITU	ரிது
RITUPARAN	ரிதுபாரன்
RITVIK	ரித்விக்
RIVAAJ	ரிவாஜ்
RIVER OF LIFE FAMILY	ரிவர் ஆப் லைப் பேமிலி
ROAD TO SIKKIM	ரோட் டூ சிக்கிம்
ROB	ராப்
ROBBIE HART	ராபி ஹார்ட்
ROBERT ANDERSON	ராபர்ட் ஆன்டர்சன்
ROBERT ATKINS	ராபர்ட் அட்கின்ஸ்
ROBERT BROWNING	ராபர்ட் ப்ரௌனிங்
ROBERT CROFT	ராபர்ட் கிராஃப்ட்
ROBERT FULGHUM	ராபர்ட் ஃபல்கம்
ROBERT HAYNES	ராபர்ட் ஹெய்ன்ஸ்
ROBERT KENNEDY	ராபர்ட் கென்னடி
ROBERT LAUGHLIN	ராபர்ட் லாஃப்லின்
ROBERT MITCHAM	ராபர்ட் மிட்சாம்
ROBERT REDFORD	ராபர்ட் ரெட்ஃபோர்ட்
ROBERT WAGNER	ராபர்ட் வாக்னர்
ROBERT WILLIAMS	ராபர்ட் வில்லியம்ஸ்
ROBIN BROWN	ராபின் ப்ரவுன்
ROBIN JACKMAN	ராபின் ஜேக்மேன்
ROBIN SINGH	ராபின் சிங்
ROBIN SMITH	ராபின் ஸ்மித்
ROBINSON	ராபின்சன்
ROBINSON CHRISTIAN	ராபின்சன் கிறிஸ்டியன்
ROCCO	ரோக்கோ
ROCH	ரோச்
ROCHAK	ரோசக்
ROCHAN	ரோசன்
ROCK	ராக்
ROCK CLIMBING	ராக் க்ளைம்பிங்
ROCK N ROLL	ராக் அன் ரோல்
ROCKBRIDGE	ராக்பிரிட்ஜ்
ROCKBROOK UNITED	ராக்புரூக் யுனைட்டெட்
ROCKFORD	ராக்போர்ட்
ROCKINGHAM	ராக்கிங்காம்
ROCKWELL	ராக்வெல்
ROD MARSH	ராட் மார்ஷ்
ROD SERLING	ராட் செர்லிங்
RODD	ராட்
RODEO	ரோடியோ
RODNEY	ரோட்னி
RODNEY HOGG	ராட்னி ஹாக்
ROENTGENIUM	ரோஏன்ட்ஜீனியம்
ROGER HARPER	ரோஜர் ஹார்ப்பர்
ROGER TELEMACHUS	ரோஜர் டெலிமேக்கஸ்
ROHINI	ரோஹினி
ROJOK	ரொஜோக்
ROLAND HOLDER	ரோலண்ட் ஹோல்டர்
ROLANDO	ரொலாண்டோ
ROLL	ரோல்
ROLLO	ரோல்லோ
ROMANTIC INDIA	ரோமான்டிக் இண்டியா
ROMEO	ரோமியோ
ROMEO JULIET	ரோமியோ ஜூலியட்
ROMESH KALUWITHARANA	ரொமேஷ் கலுவிதரானா
RON	ரான்
RON HART	ரான் ஹார்ட்
RONA	ரோனா
RONADOR	ரொனடார்
RONALD	ரொனால்ட்
RONIA	ரோனியா
RONNA	ரோன்னா
ROOHI	ரூஹி
ROOKIE OF THE YEAR AWARD	ரூக்கி ஆஃப் தி இயர் அவார்ட்
ROOP KAHANI	ரூப் கஹானி
ROOP LEKHA	ரூப் லேகா
ROOP RUPAIYA	ரூப் ருபையா
ROOPAKUMAAR	ரூபகுமார்
ROS	ரோஸ்
ROSA	ரோஸா
ROSALIE	ரோஸலி
ROSAMUND	ரோஸமண்ட்
ROSE	ரோஸ்
ROSHNI	ரோஷ்னி
ROSS EDWARDS	ராஸ் எட்வர்ட்ஸ்
ROSS SEA	ராஸ் சீ
ROSSA	ரோஸ்ஸா
ROTI KAPADA AUR MAKAN	ரோட்டி கபாடா அவுர் மகான்
ROTI KI KEEMAT	ரோட்டி கி கீமத்
ROTTERDAM	ரோட்டர்டாம்
ROUND DANCE	ரவுண்ட் டான்ஸ்
ROWING	ரோயிங்
ROY	ராய்
ROY FREDERICKS	ராய் ஃப்ரெட்ரிக்ஸ்
ROYAL ACADEMY OF ARTS	ராயல் அகாடெமி ஆஃப் ஆர்ட்ஸ்
ROYAL AHOLD	ராயல் அஹோல்டு
ROYAL ALBERTA MUSEUM	ராயல் அல்பெர்டா மியூஸியம்
ROYAL ARCH	ராயல் ஆர்ச்
ROYAL BANK OF CANADA	ராயல் பேங்க் ஆப் கனடா
ROZA	ரோஸா
ROZALIA	ரோஸலியா
RUBY	ருபி
RUCHI	ருச்சி
RUCHI SOYA	ருச்சி சோயா
RUDI BRYSON	ரூடி ப்ரைசன்
RUDI STEYN	ரூடி ஸ்டேயின்
RUDOLF NURWAY	ருடாலஃப் நூர்வே
RUDR	ருதர்
RUDRAPRAYAG	ருத்ரப்பிராயக்
RUDRAPRIYA	ருத்ரபிரியா
RUE	ருய்
RUFIYAA	ருஃபியா
RUGBY	ரக்பி
RUGGIERO	ருஜிரோ
RUGGIERO DI LAURIA	ருக்கியாரோ டி லாரியா
RUKHSANA	ருக்ஸானா
RUKMA	ருக்மா
RUKMANI HARAN	ருக்மனி ஹரன்
RUKSANA	ருக்சனா
RUMA	ருமா
RUMBA	ரும்பா
RUMESH RATNAYAKE	ருமேஷ் ரத்னாயகே
RUMFORD PRIZE	ரம்ஃபோர்ட் ப்ரைஸ்
RUNAKO MORTON	ருனாகோ மார்டன்
RUNNING	ரன்னிங்
RUPA	ருபா
RUPAK	ருபக்
RUPALI	ருபாலி
RUPINDER	ருபிந்தர்
RUPYE KI KAHANI	ருப்யே கி கஹானி
RUSHD	ருஷித்
RUSHIL	ருஷில்
RUSSIAN FEDERATION	ரஷ்யன் பெட்டரேஷன்
RUSTOM-E-BAGHDAD	ருஸ்தம்-இ-பாக்தாத்
RUTGERS	ரட்கர்ஸ்
RUTLAND	ரட்லேண்ட்
RUWAYFI	ருவாய்ஃபி
RYAN HIGGINS	ரியான் ஹிக்கின்ஸ்
RYAN RAMDASS	ரியான் ராம்தாஸ்
RYAN SIDEBOTTOM	ரையான் சைட்பாட்டம்
RYUGYONG HOTEL	ரியுக்யோங் ஹோட்டல்
SAAFALE	ஸாபலே
SAAGU	சாகு
SAAHAS	சாஹஸ்
SAAJAN KI SAHELI	சாஜன் கி சாஹேளி
SAAMRI	சாம்ரி
SAAN	சான்
SAANE	சானே
SAARANG	சாரங்
SAAT HINDUSTANI	சாத் ஹிந்துஸ்தானி
SAAT PHERE	சாத் பேரே
SAAT SAMUNDER PAAR	சாத் சமுந்தர் பார்
SAAT SAWAL	சாத் சவால்
SAATHI	சாதி
SAATVIK	சாத்விக்
SAAVITREE	சாவித்ரீ
SAAZISH	சாஸிஷ்
SABA	சபா
SABADHU	சபாது
SABARKANTHA	சபர்கந்தா
SABARWAL	சபர்வால்
SABBURAH	சப்புரா
SABIHAH	சபிஹா
SABINE	சபைன்
SABSE BADA RUPAIYA	சப்சே பாதா ருபையா
SABZ BAAG	சப்ஸ் பாக்
SACCHIDANAND	சச்சிதானந்த்
SACHAAI	ஸச்சாயி
SACHAI KI TAQAT	ஸசாயி கி தாகாத்
SACHCHA JHUTHA	ஸச்சா ஜூதா
SACHCHE KA BOLBALA	ஸச்சே கா போல்பலா
SACHDEVA PUBLIC SCHOOL PITAMPURA	சாச்தேவா பப்ளிக் ஸ்கூல் பிதாம்புரா
SACHDEVA PUBLIC SCHOOL, ROHINI	சாச்தேவா பப்ளிக் ஸ்கூல், ரோஹினி
SACHI	சாச்சி
SACHIN TENDULKAR	சச்சின் டெண்டுல்கர்
SACRED HEART GIRLS HIGH SCHOOL	சேக்ரெட் ஹார்ட் கேர்ல்ஸ் ஹை ஸ்கூல்
SACRED HEART SENIOR SECONDARY SCHOOL, CHANDIGARH	சேக்ரெட் ஹார்ட் சீனியர் செக்கன்டரி ஸ்கூல், சண்டிகர்
SADA SUHAGAN	சதா சுஹாகான்
SADAK CHHAP	சதக் சாப்
SADANAND	சதானந்த்
SADEED	சதீத்
SADHNA	சாத்னா
SADHU AUR SHAITAN	சாது அவுர் ஷைத்தான்
SADIE	சடி
SADIQ MOHAMMAD	சாதிக் மொஹம்மத்
SADIQAH	சதிகா
SADOOF	சதூஃப்
SADYOJAT	சத்யோஜத்
SAED E HAVAS	சயித் இ ஹவாஸ்
SAEED	சயீத்
SAEED AZAD	சயீத் ஆசாத்
SAEED BIN NASIR	சயீத் பின் நாசிர்
SAFED HAATHI	சாஃப்பெத் ஹாத்தி
SAFEERAH	சஃபீரா
SAFEWAY	சேப்வே
SAFFAR	சஃபர்
SAFFRON	சாஃபரான்
SAFIY-ALLAH	சஃபி-அல்லா
SAFIYY	சஃபிய்
SAFWAH	சஃப்வஹ்
SAFWAN	சஃப்வன்
SAGAR	சகர்
SAGAR KA SHER	சாகார் கா ஷெர்
SAGGAI	சகாய்
SAGGU	சாகு
SAGHEER	சகீர்
SAHAJA	சஹஜா
SAHALPUR	சஹல்பூர்
SAHANI	சஹானி
SAHARA	சஹாரா
SAHARANPUR	சாஹாரன்பூர்
SAHASTRABAAHU	சஹஸ்த்ரபாஹு
SAHASTRRAAJUN	சஹஸ்த்ராஜுன்
SAHEB	சாஹெப்
SAHEB BAHADUR	சாஹெப் பஹதூர்
SAHEBZADE	சாஹெப்ஸாதே
SAHELI	சஹேலி
SAHIM	சஹிம்
SAHIRAH	சஹிரா
SAHL	சஹ்ல்
SAHLAH	சஹ்லா
SAHOLI	சஹோலி
SAIB	சயிப்
SAILING	செய்லிங்
SAIMAH	சைமா
SAINATH	சாய்நாத்
SAINBI	சைனபி
SAINI	சைனி
SAINT GEORGE'S TOWER	செயிண்ட் ஜார்ஜ்ஸ் டவர்
SAINT JOHN THE BAPTIST HIGH SCHOOL,THANE	செயிண்ட் ஜான் த பாப்டிஸ்ட் ஹை ஸ்கூல், தானே
SAINT JOHN'S HIGH SCHOOL, CHANDIGARH	செயிண்ட் ஜான்ஸ் ஹை ஸ்கூல், சண்டிகர்
SAINT JOSEPH'S BOYS' HIGH SCHOOL, BANGALORE	செயிண்ட் ஜோசப்ஸ் பாய்ஸ் ஹை ஸ்கூல், பெங்களூர்
SAINT JOSEPH'S SENIOR SECONDARY SCHOOL, KANPUR	செயிண்ட் ஜோஸப்ஸ் சீனியர் செக்கன்டரி ஸ்கூல், கான்புர்
SAINT LOUIS	செயிண்ட் லூயிஸ்
SAINT MICHAEL'S ACADEMY, CHENNAI	செயிண்ட் மைக்கெல்ஸ் அகாடெமி, சென்னை
SAINT OLAVS MEDAL WITH OAK BRANCH	செயிண்ட் ஒலாவ்ஸ் மெடல் வித் ஓக் ப்ரான்ச்
SAINT STANISLAUS HIGH SCHOOL. MUMBAI	செயிண்ட் ஸ்டானிஸ்லாஸ் ஹை ஸ்கூல், மும்பை
SAINT THOMAS TOWER	செயிண்ட் தோமஸ் டவர்
SAINT XAVIERS'S SCHOOL, CHANDIGARH	செயிண்ட் ஸேவியர்ஸ் ஸ்கூல், சண்டிகர்
SAINTE MARIE	செயிண்ட் மேரி
SAIRAH	சைரா
SAJAN	சஜன்
SAJEEWA DE SILVA	சஜீவா டி சில்வா
SAJID ALI	சஜித் அலி
SAJJAD	சஜ்ஜத்
SAJJAD AHMED	சாஜ்ஜாத் அஹ்மத்
SAJJAD AKBAR	சஜ்ஜத் அக்பர்
SAKAL	சகால்
SAKHI	சகி
SAKHI ROBIN	சகி ராபின்
SAKINAH	சகினா
SALAABATPURA	சாலபத்புரா
SALAAM MEMSAAB	சலாம் மெம்சாப்
SALADO	சலடோ
SALAH	சலா
SALAHUDDIN AHMED	ஸாலாஹுத்தின் அஹ்மத்
SALAKHEN	சலாகென்
SALAM	சலாம்
SALAM BOMBAY	சலாம் பாம்பே
SALEEM MALIK	சலீம் மாலிக்
SALGIRAH	சால்கிராஹ்
SALIF	சலிஃப்
SALIFAH	சலிஃபா
SALIK	சலிக்
SALILA	சலிலா
SALILESH	சலிலேஷ்
SALIM	சலிம்
SALIM LANGDE PE MAT RO	சலிம் லாங்டே பே மாத் ரோ
SALIMA	சலிமா
SALIMAH	சலிமா
SALVATORE	சல்வதோர்
SALWA	சல்வா
SAMADHI	சமாதி
SAMAJ	சமாஜ்
SAMAJH	சமஜ்
SAMAN JAYANTHA	சமன் ஜெயந்தா
SAMANT	சமன்த்
SAMARA	சமரா
SAMARAH	சமரா
SAMARENDRA	சம்ரேந்திரா
SAMARIUM	சாமாரியம்
SAMARTH	சமர்த்
SAMASYA	சம்ஸ்யா
SAMATA	சமதா
SAMAYAPURAM	சமயபுரம்
SAMBANDH	சம்பந்த்
SAMBHAV	சம்பவ்
SAMBHAWANA	சம்பவ்னா
SAMEERA	சமீரா
SAMIDHA	சமிதா
SAMIRAH	சமிரா
SAMITA	சமிதா
SAMJHAUTA	சம்ஜோதா
SAMOSIR	சாமோசிர்
SAMPADA	சம்பதா
SAMPATTI	சம்பதி
SAMPRITI	சம்பிரிதி
SAMRAT	சம்ராத்
SAMRAT ASHOK	சம்ரத் அஷோக்
SAMRAT CHANDRAGUPT	சம்ரத் சந்திரகுப்த்
SAMTEL COLOR	சாம்டெல் கலர்
SAMUDRA	சமுத்ரா
SAMUDRAGUPTA	சமுத்ரகுப்தா
SAMUEL JOHNSON PRIZE	சாமுவேல் ஜான்சன் ப்ரைஸ்
SAMUEL TAYLOR COLERIDGE	சாமுவேல் டெய்லர் கோலேரிட்ஜ்
SAN DIEGO	சன் டீகோ
SAN FRANCISCO OAKLAND BAY	சன் பிரான்சிஸ்கோ ஓக்லேண்ட் பே
SAN GABRIEL	சான் கேப்ரியல்
SAN JACINTO	சான் ஜாசின்டோ
SAN JUAN	சான் ஜுவான்
SAN MATEO	சன் மேடோ
SAN MATIAS	சான் மாடியாஸ்
SAN PABLO BAY	சன் பாப்லோ பே
SANA	சனா
SANAA	சனா
SANAM	சனம்
SANANDA	சனந்தா
SANAT	சனத்
SANATH JAYASURIYA	சனத் ஜெயசூர்யா
SANATH KALUPERUMA	சனத் கலுபெருமா
SANAUBAR	சனௌபார்
SANCHAYA	சஞ்சயா
SANCHIT	சஞ்சித்
SANDAL	சான்டல்
SANDEEP PATIL	சந்தீப் பட்டில்
SANDHAR	சாந்தர்
SANDHI	சந்தி
SANDHYA CHHAYA	சந்தியா சாயா
SANDHYANAND	சந்தியானந்த்
SANDOVAL	சான்டோவல்
SANDRA DAY O'CONNOR	சாண்ட்ரா டே ஓ'கானர்
SANDRO	சான்ட்ரோ
SANDURI	சந்தூரி
SANFORD	சான்ஃபோர்ட்
SANGDIL	சங்தில்
SANGDIL SAMAJ	சங்தில் சமாஜ்
SANGEET SAMRAT TANSEN	சங்கீத் சம்ரத் டான்சென்
SANGEETA	சங்கீதா
SANGHERA	சங்கேரா
SANGHOD	சங்கோத்
SANGLI	சான்கிலி
SANJANA	சஞ்சனா
SANJAY BANGAR	சஞ்சய் பங்கர்
SANJAY MANJREKAR	சஞ்சய் மஞ்சிரேக்கர்
SANJEEV SHARMA	சஞ்சீவ் ஷர்மா
SANJEEVANI	சஞ்சீவானி
SANJH KI BELA	சன்ஜ் கி பேலா
SANJOG	சஞ்சோக்
SANJUKTA	சஞ்சுக்தா
SANJULA	சஞ்ஜுலா
SANJUSHREE	சஞ்சுஸ்ரீ
SANKALP	சங்கல்ப்
SANNATA	சன்னாடா
SANNE	சான்னே
SANOR	சனோர்
SANS PAREIL	சான்ஸ் பாரேயில்
SANSKAR	சன்ஸ்கர்
SANT RAGHU	சன்த் ராகு
SANT RAVIDAS KI AMAR KAHANI	சன்த் ரவிதாஸ் கி அமர் காஹானி
SANT TULSIDAS	சன்த் துல்சிதாஸ்
SANTA LUCIA	சான்டா லூசியா
SANTA MONICA	சான்டா மோனிகா
SANTA SUSANA	சான்டா சூசன்னா
SANTAN	சன்த்தன்
SANTHAL PARGANA	சன்தல் பர்கானா
SANTOOR	சந்தூர்
SANTOSH	சந்தோஷ்
SANTUSHTI	சந்துஷ்டி
SANTWANA	சந்த்வனா
SANVALI	சன்வலி
SANYAKTA	சன்யக்தா
SAO JOAQUIM	சாவோ ஜாவோகியம்
SAPARNA	சபர்னா
SAPPAL	சப்பல்
SAPRE	சாப்ரே
SAPTAKOTESHWAR	சப்தகோடேஷ்வர்
SARA LEE	சாரா லீ
SARABDEV	சரப்தேவ்
SARAI KE BAHAR	சாரை கே பாஹர்
SARAKATSANOI FOLKLORE MUSEUM	சராகோட்சனாய் ஃப்போக்லோர் மியூஸியம்
SARAN	சரண்
SARANG	சரங்
SARANGI	சாரங்கி
SARANYA	சரண்யா
SARAS	சரஸ்
SARASIJA	சரஸிஜா
SARASVAT	சரஸ்வத்
SARASWATI	சரஸ்வதி
SARBAJIT	சர்பஜித்
SARDANA	சர்தானா
SARDAR PATEL VIDYALAYA, NEW DELHI	சர்தார் பட்டேல் வித்யாலயா, நியூ டெல்லி
SARDEGNA	சார்டெக்னா
SAREGAMA INDIA	சரிகம இந்தியா
SARFAROSH	சரஃப்பரோஷ்
SARHADDI	சர்ஹாதி
SARHINDI	சர்ஹிந்தி
SARIT	சரித்
SARKARI MEHMAN	சர்க்காரி மெஹ்மான்
SARLA	சர்லா
SARMAD	சர்மத்
SARMINDER	சர்மிந்தர்
SARNATH	சார்நாத்
SAROJINI NAIDU	சரோஜினி நாயுடு
SAROLKAR	சரோல்கர்
SARTAJ	சர்தாஜ்
SARWARI	சர்வாரி
SARWATE	சர்வதே
SARYU	சர்யு
SASAR NAIYA	சாஸர் நையா
SASKATCHEWAN	சாஸ்கட்சுவன்
SASSI PUNNU	சாஸி புன்னு
SASURAL	சாஸுரல்
SATAH SE UTHATA ADAMI	சதஹ் செ உதாடா அதாமி
SATHANUR RESERVOIR	சாத்தனூர் ரிசர்வாயர்
SATI	சதி
SATI MADALASA	சதி மடல்ஸா
SATI NAGKANAYA	சதி நாக்கனாயா
SATI PARIKSHA	சதி பரிக்ஷா
SATI PINGALA	சதி பிங்காலா
SATI RENUKA	சதி ரேனுகா
SATI SULOCHANA	சதி சுலோச்சனா
SATI VAISHALINI	சதி வைஷாலினி
SATINDERPAL	சதிந்தர்பால்
SATINDRA	சதிந்திரா
SATISH GUJRAL	சதிஷ் குஜ்ரால்
SATNA	சட்னா
SATNAM OVERSEAS	சத்னம் ஓவர்சீஸ்
SATYA	சத்யா
SATYADEV	சத்யதேவ்
SATYAKAM	சத்யகம்
SATYAM COMPUTERS	சத்யம் கம்ப்யூட்டர்ஸ்
SATYENDRA	சத்யேந்திரா
SATYWAN SAVITRI	சத்யவான் சாவித்ரி
SAU SAAL BAAD	செள ஸால் பாத்
SAUBAL	சௌபல்
SAUBHAGYA	செளபாக்யா
SAUD	சௌத்
SAUDAA	செளதா
SAUDANTTIKAR	சவுதன்திகர்
SAUGANDH	சோகாந்த்
SAUJAN_Y	சௌஜன்ய்
