آثار	'ASAR
غبيشى	GABISHI
غبيطي	GABAITI
غبين	GABEAN
غتار	GATER
غتران	GATRAN
غتيه	GATIE
غثوان	GASWAN
غثيان	GASSIAN
غثيث	GASES
غدار	GADAR
غداف	GHUDAF
غدايره	GADAIRA
غدبر	GADBAR
غدران	GHADRAN
غدفه	GADFA
غدنان	GADNAAN
غده	GAD
غدي	GADE
غدير	GADEER
غديري	GADIRI
غر	GHOOR
غرابات	GARABED
غرابة	GARABA
غرابله	GARABELA
غرابلي	GARABELLI
غراز	GARAAZ
غراغير	GARAGER
غرام	GARAAM
غرامة	GARAMA
غراندوق	GARANDOJ
غراى	GARAI
غرايبه	GARAIBE
غرب	GARB
غربات	GARBAD
غربال	GHERBAL
غربان	GHORBAN
غربانى	GHORBANE
غرباية	GARBAIA
غربي	GARBI
غربية	GARBIA
غرزالدين	GARZALDEEN
غرسان	GARSAN
غرسه	GARSA
غرغور	GARGOOR
غرفان	GARFAN
غرفه	GARFA
غرفيان	GARAFIAN
غرم	GARM
غرمالله	GARMILLA
غرمان	GARMAN
غره	GHORE
غروري	GARORI
غروز	GAROTH
غروف	GAROF
غروق	GHURUQ
غروى	GERWE
غروي	GARAWE
غريب	GAREB
غريبه	GAREBAH
غريد	GAREED
غرير	GHRAIR
غريز	GARETH
غريس	GARIS
غريسي	GERISI
غريض	GARED
غريفات	GHORAIFAT
غريفان	GARYFAN
غريفي	GAREFI
غريواتي	GHURAYWATI
غز	GATH
غزاره	GATHERE
غزاز	GAZAZ
غزازوه	GAZAZOA
غزازي	GAZATHE
غزالات	GATHELED
غزالة	GAZALA
غزالي	GAZALE
غزالين	GAZALEN
غزاوي	GAZAWI
غزاويه	GAZAWIA
غزاي	GAZAI
غزة	GAZA
غزلان	GAZLAN
غزلاني	GHAZLANI
غزو	GAZOO
غزوان	GATHWEN
غزواني	GATHWANE
غزوم	GAZOM
غزى	GEEZE
غزي	GAZI
غزيل	GAZEL
غزيوات	GHUZAYWAT
غسلان	GASLAAN
غشا	GESCHAH
غشام	GASCHEM
غشان	GASCHEN
غشم	GASCHEM
غشمري	GASHMERE
غصاب	GASAB
غصان	GASEN
غصب	GASAB
غصن	GHOSN
غصوب	GHOSSOUB
غصون	GHOSON
غصيب	GASIB
غصيبه	GHUSAYBAH
غصيبى	GHOSAIBI
غصين	GASEN
غضاب	GADAB
غضوي	GADWE
غضيان	GADIAN
غضيه	GADIA
غطاس	GATAS
غطاش	GATASH
غطاط	GATAT
غطيس	GHUTAYS
غطيش	GHUTAYSH
غظيان	GADIAN
غف	GAF
غفار	GAFAR
غفاري	GAFARE
غفر	GAFAR
غفران	GHOFRAN
غفره	GAFRA
غفري	GAFARI
غفلان	GAFLAN
غفلى	GAFLE
غفه	GAFA
غفور	GAFOOR
غفولى	GAFOLE
غفيرى	GEFIRE
غفيفي	GEFIFE
غفيلى	GAFELE
غل	GAL
غلاب	GALAB
غلاط	GALAT
غلال	GALAL
غلام	AL-GHULAM
غلامس	GALEMYS
غلايله	GALAILA
غلاينى	GALAINE
غلايينى	GALAAYIINI
غلاييني	GALAIINI
غلب	GALAB
غلبان	GALBAAN
غلتيه	GALTEIA
غلسان	GALSAN
غلفان	GALFAN
غلفاني	GALFANI
غلفص	GALFAS
غله	GALA
غليفيص	GHULAYFIS
غليلات	GHULAYLAT
غليله	GALELA
غليون	GALION
غم	GAM
غمار	GEMAR
غماز	GAMATH
غمبض	GAMBAD
غمر	GAMER
غمراوي	GAMRAWI
غمري	GAMRE
غمس	GAMAS
غملاس	GEMLAS
غميان	GEMIAN
غميجان	GAMEGAN
غمير	GHUMAYR
غميض	GHUMAYD
غنا	GANA
غناجه	GANAGA
غنام	GANAM
غنامه	GANAMA
غنان	GANAN
غنانيم	GANANIM
غنايم	GANAIEM
غندف	GANDAF
غندور	GANDOOR
غندورة	GANDOURA
غندوره	GANDORA
غنز	GANTH
غنم	GANEM
غنمان	GANMAN
غنمه	GANAME
غنمى	GANMA
غنوان	GANWAN
غني	GANI
غنيان	GHUNAYYAN
غنيس	GANES
غنيم	GHNAIM
غنيمات	GANEEMAT
غنيمان	GANEMAN
غنيمة	GANEEMA
غنيمى	GHONEIMI
غنيمي	GANIME
غنيو	GHUNAYYU
غوادره	GAWADERA
غوار	GAWAR
غواص	GAWAS
غوافله	GAWAFLA
غوانمه	GAWANMEH
غوايرى	GHAWAYIRI
غوايشه	GAWAYSHA
غوت	GHUT
غوتوق	GHUTUQ
غوث	GAWTH
غوجل	GHUJAL
غور	GHOOR
غورز	GHAWRAZ
غوري	GHORI
غوزة	GHUZAH
غوش	GHOCH
غوشه	GHOSHEH
غوص	GAWS
غوطاني	GHUTANI
غوطي	GHUTI
غول	GHOL
غولام	GHOLAM
غوله	GHOULA
غولي	GHOLE
غومه	GHUMA
غوى	GAWA
غوي	GAWE
غويث	GAWES
غويدي	GHUWAIDI
غويري	GHUWAYRI
غويرين	GHUWAYRIN
غويزي	GAWEZI
غويفل	GAWEFEL
غويل	GAWEL
غوين	GHUWAYN
غوينم	GAWAINEM
غويين	GAWIEN
غياتى	GAIETE
غيار	GAYAAR
غياض	GAIAD
غياضه	GAIADA
غياضى	GAIADE
غياط	GEAT
غياظ	GEAD
غياظه	GEADA
غيال	GEAL
غيالين	GHIELEN
غيان	GAIAN
غيانه	GAIANA
غيبه	GHAIBAH
غيثاء	GEIZA'
غيثاث	GEESES
غيثان	GETHAN
غيثاني	GESANI
غيثي	GEESE
غيداء	GAIDE'
غير	GAIR
غيريبو	GHUYARYABU
غيشان	GEESHAN
غيضان	GAIDEN
غيطاس	GAITAS
غيطان	GAITAN
غيطانى	GHAYTANI
غيطاى	GETAI
غيظان	GAIDEN
غيفان	GEIFEN
غيل	GAIL
غيلاني	GAILANI
غيه	GEIA
غيهب	GAIHAB
غيوث	GAYYOUTH
غيور	GAIOR
فؤاد	FO'AD
فؤاد الدين	FO'EDE DINE
فؤادة	FO'EDA
فؤادعباس	FO'ED'ABAS
فائح	FA'I
فائد	FA'ID
فائز	FA'ITH
فائزة	FA'IZAH
فائع	FA'I'
فائق	FA'IK
فائقه	FA'IQA
فائيز	FA'ITH
فاتحه	FAATIHAH
فاتر	FAATER
فاترونى	FATRONE
فاتنه	FATANEH
فاجع	FAGE
فاخري	FACHIRI
فاخوري	FACHOURI
فادح	FAADE
فادن	FADEN
فادي	FAADY
فاديا	FADEA
فادية	FADEA
فارايات	FAHREYAD
فارج	FAARIJ
فارح	FAAREE
فارس	FAAREES
فارسي	FAARISI
فارع	FAARE'
فارغى	FAHRIGE
فارق	FAREC
فاركي	FARICE
فارهيم	FARAEM
فاروز	FAROOZ
فاروق	FAARUQ
فاروقه	FAROGHE
فاز	FAATH
فازع	FATHE'
فازل	FAAZIL
فازول	FATHOL
فاس	FAAS
فاسم	FACEM
فاشر	FACHER
فاشه	FAHSHA
فاصد	FACED
فاصل	FAASIL
فاصيح	FASE
فاضل	FAADEL
فاضلة	FADEELAH
فاطر	FAATER
فاطمة	FAATIMAH
فاطمي	FATEME
فاعور	FA'OR
فاعورى	FA'URE
فاعوري	FA'AWARI
فاعوس	FA'OS
فاغوري	FAGHURI
فاقش	FACESH
فاكر	FAAKER
فال	FAAL
فالابل	FAHLABEL
فالبادي	FALBADI
فالح	FAALEH
فالوجي	FALLOUJI
فاليا	FALEA
فاليم	FAHLEM
فامبي	FAMBE
فانخ	FANEK
فانك	FANEK
فانوس	FAANOOS
فاهد	FAHED
فاهم	FAAHEM
فاهوم	FAAHUWM
فاورق	FAHWERK
فايت	FAAYIT
فايح	FAHIE
فايد	FAAYED
فايده	FAEDA
فاير	FAAYIR
فايز	FA'IZ
فايزة	FAAYEZA
فايزه	FAAYZA
فايض	FAEAD
فايع	FAIE
فايق	FAIEK
فايقة	FAIJA
فايقه	FAEGA
فت	FAD
فتاتحه	FATAATIHA
فتاح	FADE
فتاش	FATACH
فتال	FADAL
فتاله	FATALA
فتاه	FATA
فتايلي	FATAELI
فتة	FATA
فتح	FAT
فتحاالله	FATHALLA
فتحي	FATHE
فتحية	FATHEYA
فتن	FATN
فتنان	FATNAAN
فتنه	FATNA
فتوت	FOTOD
فتوج	FADOG
فتوح	FOTO
فتوحة	FATOCHE
فتون	FOOTON
فتوى	FATOUA
فتيان	FATEEN
فتيانى	FETIANI
فتياني	FATIANE
فتيح	FATE
فتيحه	FATECHA
فتيحى	FATEHI
فتيحي	FOTICHE
فتيل	FATEEL
فتينات	FOOTEENET
فتينى	FOTEINI
فتيه	FATIA
فجر	FADJR
فجريه	FAGHRIE
فجلة	FEEGLE
فجله	FAGLA
فجور	FAGHOR
فجيج	FGAIJ
فجيه	FEJE
فحاجين	FACHAGEN
فحار	FAHAAR
فحامنه	FAHAMEENA
فحتي	FACHTE
فحجان	FACHGAN
فحمان	FACHMAN
فحماوي	FACHMAWI
فحوم	FACHUM
فحيل	FACHEL
فحيلى	FACHELI
فحيلي	FHAILI
فخرالدين	FAKHR AL DIN
فخرو	FACHRO
فخري	FACHRI
فداء	FEDA'
فداءالدين	FEDA 'EDIN
فدائى	FEDA'I
فداح	FADA
فدان	FADAAN
فداوي	FADAOUI
فدايه	FADAYEH
فدعاش	FAD'ASH
فدعان	FAD'AN
فدعوس	FAD'OS
فدعوش	FAD'OSH
فدغان	FADGAN
فدغم	FADGAM
فدوس	FADOUAS
فدوه	FADOA
فدوى	FADOA
فدياس	FADIAS
فديع	FADE
فديغم	FOODIKIM
فر	FEER
فرا	FARA
فرات	FOORAAT
فراج	FARAAG
فراجين	FARAGEN
فراحنه	FARAHEENA
فراحين	FARACHAIN
فرار	FARAAR
فرارجه	FARARIJAH
فراره	FARARA
فراز	FARAAZ
فراس	FARAAS
فراسين	FARASEEN
فراشة	FARAASHA
فراص	FARAHS
فراع	FARA
فران	FARAAN
فراهيد	FARAHEAD
فراونه	FARAONA
فرايه	FARAYA
فرج	FARADJ
فرجات	FARGAT
فرجالله	FARAJ ALLAH
فرجاني	FORGANI
فرجت	FARAGAT
فرجن	FARGAN
فرجه	FARGA
فرجون	FARGOEN
فرجين	FORGAIN
فرح	FARA
فرحات	FARCHAT
فرحان	FARCHAN
فرحش	FARCHESH
فرخ	FARCH
فرد	FARD
فردان	FARDAAN
فرداوي	FARDAOUI
فردوس	FARDOUS
فرز	FARATH
فرزات	FARTHAT
فرزان	FARTHAN
فرزع	FARTHE
فرس	FARAS
فرسان	FOORSAN
فرسانى	FARSANE
فرسخ	FARSACH
فرسوني	FARSONE
فرشان	FARCHAN
فرشوري	FARSHOORI
فرص	FARS
فرصة	FOORSA
فرض	FARAD
فرعون	FAR'UN
فرعونيه	FER'ONIA
فرغل	FARGAL
فرغلي	FARGALE
فرفراوى	FARFARAWI
فرق	FAREEK
فرقان	FORCEN
فركوح	FARCO
فرماوي	FARMAAWI
فرنجيه	FERANGIE
فرهاد	FARHAAD
فرهان	FARHAAN
فرهود	FARHOD
فرو	FAROU
فرواتي	FEROATI
فروان	FARAWAN
فروانه	FARWANA
فروح	FORO
فروخ	FOROH
فرودي	FORODE
فروقه	FAROGHE
فرى	FERE
فري	FARE
فريال	FERIAL
فريالة	FERIALA
فريبى	FARAYBI
فريتخ	FORAYTECH
فريج	FAREEG
فريجات	FAREJET
فريجه	FORIGE
فريجون	FARAYJUN
فريح	FARE
فريحات	FOREEHAD
فريحة	FAREEHA
فريحه	FORICHE
فريخ	FAREH
فريد	FARAID
فريدا	FAREDA
فريدالدين	FAREEDUDDIN
فريدة	FAREDA
فريدون	FARIDUN
فريدي	FAREDE
فريز	FAREEZ
فريزه	FAREEZA
فريشان	FORAICHAN
فريشي	FERECHI
فريق	FAREEG
فرينيس	FARENES
فريهان	FAREHAN
فريوان	FORIWAN
فريوس	FARIOS
فريوي	FOREIWI
فزاره	FATHERA
فزارى	FATHERE
فزعات	FATHE'AD
فزعه	FATHE
فزه	FAZA
فستق	FOSTOCK
فسفوس	FASFOOS
فسيسي	FACESE
فسيفس	FOSSIFES
فشحو	FACHHO
فشوش	FACHOCH
فشيكات	FASHAIKAT
فصال	FACEL
فصام	FECEM
فصايل	FASAIAL
فصمان	FASMAN
فصيح	FASAI
فضاء	FADA
فضائل	FADA'EL
فضاله	FADALA
فضاوي	FADAOUI
فضايل	FADAIEL
فضة	FEDA
فضل	FADAL
فضل الله	FADEL ALLAH
فضله	FADLA
فضلون	FADLOEN
فضلي	FADLE
فضو	FADDU
فضول	FDOOL
فضولي	FADOLI
فضيان	FDAIAN
فضيل	FADAIL
فضيلى	FADELE
فطافطه	FATAAFETTE
فطام	FEETAM
فطاني	FATANI
فطاى	FATAHI
فطاير	FATAAYIR
فطمه	FATMA
فطوم	FATOM
فطومة	FATOMA
فطومه	FATOMA
فطيح	FOOTI
فطيس	FOOTIS
فطيم	FATEM
فطيمات	FATEMAD
فطيمه	FATEEMA
فطين	FATEEN
فظله	FADHLA
فعال	FE'AL
فعلا	FA'LA
فقاوى	FACAWY
فقر	FOCOR
فقس	FACAS
فقعان	FAG'AN
فقعاوي	FAG'AWI
فقه	FACE
فقهاء	FOQAHA
فقهاوي	FAGHAUI
فقهى	FECHE
فقهي	FACHE
فقوس	FACOS
فقيات	FIGEAT
فقية	FACE
فقير	FAGEER
فقيرات	FOUGEIRET
فقيري	FAGERI
فقيس	FAGIS
فقيهي	FAGHIHE
فكار	FACER
فكاك	FACAC
فكتور	FACTOR
فكر	FECR
فكر الدين	FEKREDIN
فكرت	FECRED
فكري	FECKRY
فكريه	FEKREYA
فكه	FACE
فكو	FACCO
فكيهة	FACEHE
فل	FOL
فلات	FALAAT
فلاتة	FALATAH
فلاته	FALATA
فلاج	FALAG
فلاح	FALA
فلاحت	FALAHAT
فلاحه	FALACHA
فلاحى	FALACHI
فلاس	FALAS
فلان	FALAAN
فلايله	FALAELA
فلتة	FALTA
فلج	FALAG
فلجي	FALGE
فلحات	FALAHAT
فلحان	FALCHAN
فلحه	FALAHA
فلحى	FALCHA
فلسطين	FELASTEEN
فلفا	FALFA
فلفل	FALFEL
فلفلة	FALFALA
فلك	FALACK
فلنتينا	FALANTENA
فلنه	FLANA
فلوان	FALOUAN
فلوح	FALAWWAH
فلورا	FLOORA
فلوه	FALWA
فلوى	FALOUA
فليان	FOLAYAN
فليج	FALEJ
فليح	FALE
فليحا	FALEEHA
فليحات	FALEHED
فليحان	FALAICHEN
فليحه	FLIAHA
فليحين	FLAHEN
فليحيين	FLEEHIN
فليفل	FLAIFEL
فليفله	FLAIFLA
فليل	FALEEL
فميس	FOMAIS
فن	FAN
فنار	FANAAR
فناش	FANACH
فناطسه	FANATISA
فناطل	FANATEL
فنتوخ	FANTOCH
فنجري	FANGARE
فنحى	FANCHE
فنخ	FANACH
فنخور	FANCHOOR
فنخير	FANCHEER
فندي	FANDE
فنديه	FANDEYA
فنش	FANACH
فنشه	FANSCHA
فنصة	FANSA
فنطول	FANTOEL
فنهش	FANHASH
فنوخ	FANUKH
فنوس	FANOES
فنوش	FANNOCH
فنون	FNOON
فنونه	FANONA
فنيان	FONAIAN
فنيخر	FONIHER
فنيدان	FONIDAN
فنير	FANAIR
فنيس	FONAIS
فنيسان	FONEESAN
فنيش	FANECH
فنيص	FANAIS
فنيطر	FENAITER
فنيطل	FONAYTIL
فنيل	FONAIL
فهاد	FAAD
فهد	FAAD
فهدان	FAADEN
فهدي	FAADE
فهدين	FADEIN
فهر	FAHER
فهر الدين	FEHR ODIN
فهرام	FAHRAM
فهم	FAAM
فهمة	FAAMA
فهمى الدين	FAHM-AL-DIN
فهود	FOHOD
فهيد	FAHAID
فهيدان	FAEADAN
فهيده	FAHEIDA
فهير	FOHAIR
فهيم	FAHEAM
فهيمة	FAEMA
فوؤاد	FAW'AD
فوائد	FAWA'ED
فواته	FAWATA
فواده	FAWAADE
فوار	FAOUAR
فوارس	FAOUARES
فوارسه	FAWARISA
فواز	FAOUAZ
فوازان	FAOUAZEN
فوازن	FAOUAZEN
فوازه	FAWATHA
فواضله	FAWADILA
فواعره	FAOA'RA
فواعير	FAOA'IR
فواغره	FAUAGRA
فواقه	FAWAAKEH
فوال	FAOUAL
فوالجه	FAWALIJAH
فوته	FOOTE
فوتى	FAOTA
فوتي	FAWTI
فوجو	FOGO
فودة	FODA
فوده	FAWDA
فودي	FODE
فورزدين	FAWRAZUDIN
فوره	FAWRAH
فوز	FAOUZ
فوزات	FAWZAT
فوزان	FOOZEN
فوزت	FOZED
فوززان	FAWZAZAN
فوزه	FAWZA
فوزي	FAOUZI
فوزيا	FOOZIE
فوزية	FAWZEYA
فوضي	FAUDI
فوطه	FOOTE
فوقيه	FOCIA
فول	FOEL
فولي	FOLIE
فوليب	FOLEB
فويدي	FAWAIDE
فويرس	FOUAIRES
فويز	FAOUEZ
فويزه	FAWAIZZAH
فويضل	FUWAYDIL
فوينش	FUWAYNISH
فيات	FAIAD
فياض	FAIAD
فياله	FAYALA
فيالين	FEALEN
فيان	FAIAN
فيتو	FAITO
فيجايا	FEAGAIA
فيحان	FAICHAN
فيحه	FAICHE
فيدالس	FAYDALIS
فيراوني	FAIREWENE
فيروز	FAIROOZ
فيريس	FAIRAIS
فيزى	FAIZE
فيشار	FAYSHAR
فيشان	FECHAN
فيشاوي	FESHAWE
فيصل	FAICAL
فيفل	FAIFAL
فيفى	FEEFEE
فيكتور	FECTOR
فيلا	FAILA
فيلات	FAILED
فيلالى	FELALI
فيلبيل	FAILABEL
فيلفل	FAILAFEL
فيلوا	FAYLAWA
فين	FAIN
فيوله	FAIOLA
قؤطان	JO'TEN
قائم	GAEM
قاباتى	GEBETE
قابل	CABEL
قابوس	GHABOOS
قابوق	CABUK
قابيل	CEBEL
قاحطى	CACHETE
قاخون	CACHON
قاد	CAD
قادر	AIDER
قادري	GADERI
قادور	CADOR
قادوس	CADOS
قادى	GADE
قاربك	GERABAK
قارح	CARE
قارس	CARES
قاره	CARA
قاروب	CAROB
قاروت	CAROD
قاروق	GEROG
قاري	CARE
قازان	CAZAN
قازقجي	GEZEGJE
قازلي	GAZELE
قازى	CATHY
قاس	CAS
قاسبولات	GASBULAT
قاسليا	CASILLIA
قاسم	GASIM
قاسمي	GASME
قاسميه	GHASEMIA
قاسي	CASE
قاش	CASH
قاشقري	CASHECRE
قاشى	CASCHI
قاصد	GASED
قاصر	CASSER
قاضى	CADA
قاطش	CATISH
قاطوري	CATORI
قاطوع	GATO
قاطوني	CATONE
قاعاتي	GA'ATE
قاعد	CA'ET
قاعود	CA'UT
قاقا	CAJA
قاقه	CAJA
قاقيس	CAKES
قاقيش	GAGEESH
قال	CAL
قالط	GALET
قاما	CAMA
قامش	CAMISH
قاموس	CAMUS
قانصاو	GANSAO
قانصو	CANESSO
قانع	CANI'
قاوز	CAWEZ
قاوقجى	JAWAKAGE
قاوقجي	JAWAJGE
قاووق	CAWOK
قايت	CAIET
قايد	GAYED
قايز	CAHIEZ
قايض	GAIED
قايل	GAYEL
قايم	GAIAM
قبابعه	CABABI'E
قبات	GABET
قباجة	CABAGE
قبار	CIBER
قبارى	CABARE
قباع	CEBE
قباعي	GOBE'E
قبان	CABEN
قباني	GABANI
قباوى	CABAWI
قبتوقه	CABTOCA
قبحان	CABHAN
قبرصلى	CEBERSALE
قبرصي	COBROSY
قبرطاي	GABARTAI
قبري	COBRE
قبساني	CABSANEE
قبسى	CABASE
قبش	CABSH
قبشاوي	CABSHAWI
قبصي	CABSI
قبطان	GUBTAN
قبطي	CEBTI
قبع	COUB'
قبعه	CAB'E
قبعين	CAB'IN
قبل	CABL
قبلان	COBLAN
قبلاني	GABELANI
قبلاو	CABLAW
قبلاوي	GABLAWY
قبن	CABAN
قبه	CUBA
قبها	CEBHE
قبوص	COBOS
قبول	GABOL
قبوي	CABWI
قبيان	CABIAN
قبية	CABBIE
قبيس	COBIS
قبيسى	CABEASY
قبيسي	KOBEISSI
قبيص	CABES
قبيصى	COBISI
قبيعى	GABE'E
قبيلات	CABILET
قبيلان	COBILAN
قتاته	CATETA
قتب	CATB
قتيبه	KOTAIBA
قتيل	COTAIL
قثمى	CESME
قجة	COJA
قحاح	CACHE
قحاص	CAHAS
قحاط	CAHAT
قحدان	CAHDEN
قحص	CACHAS
قحطاني	GAHTANI
قحف	CEHF
قحل	CAHL
قحم	GAHM
قحمان	GAHMAN
قحوش	COHOSH
قحيز	COCHITH
قحيش	COHISH
قحيشى	KHOCHISHE
قحيصان	CACHEASEN
قداح	GHADA
قداحه	CADACHA
قداد	CEDAT
قداده	CEDADE
قدارنه	CADERINA
قداريه	CADEREA
قدال	CADEL
قدان	CADEN
قدة	GHIDA
قدحة	CEDHA
قدر	CEDAR
قدرات	COUDRET
قدرة	CEDRA
قدره	CADRE
قدرى	CADERE
قدري	CADRE
قدريه	CADRIA
قدسي	GHODSI
قدسيان	GHODSIAN
قدسيه	GHODSIEH
قدم	GHADIM
قدمات	GADEMET
قدهان	CADHAN
قدو	CEDO
قدوحه	CADOCHE
قدور	CODOR
قدوره	CADORE
قدوس	CADOS
قديح	GHADI
قدير	GADIR
قديرات	CODIRED
قديري	CADERE
قديس	CADES
قديسات	GDEISAT
قديم	GHADIM
قديمات	CODIMAT
قديمي	ADEMI
قديميس	CADEMIES
قر	CAR
قراء	CARA
قراجه	CEREJA
قراده	CEREDA
قرادي	GARADE
قرارعه	CERERE'A
قراره	GHARAARE
قرازا	CARAZA
قراش	GARACH
قراعين	CARE'EN
قراقره	CARAJERA
قراقزه	CERECEZA
قراقع	CARECE
قراقيش	GARAGISH
قراله	CARELLA
قرامش	CERAMISCH
قرانى	GORANI
قراونه	CARAWINA
قراوي	CAREWE
قرب	CARAB
قرباشي	GARBASHI
قرباع	GERBA
قربان	CERBAN
قربه	CORBA
قربي	GERABE
قرجاء	CARGA
قرجولى	CERGOLE
قرح	CARA
قرحان	CERHAN
قردن	CARDAN
قرزوح	CARZO
قرسليا	CARSILIA
قرش	GERCH
قرشان	GARCHAN
قرشه	GERSHA
قرشي	GHORASHI
قرشيه	GERSHIA
قرص	CARAS
قرضاب	CERDAB
قرضان	CARDAN
قرط	CORT
قرطام	CERTAM
قرطان	CARTAN
قرطوع	CARTO'
قرع	CAR
قرعان	CORAN
قرعاني	GER'ANI
قرعاوي	GAR'AWI
قرعلي	CAROLE
قرعه	CARE
قرعوش	GEROCH
قرعومه	JAROME
قرعيش	CAR'ISCH
قرق	CAREC
قرقار	CARCAR
قرقز	CARCAZ
قرقع	CARCE'
قرقلو	CARCELLO
قرقماز	CARCAMAZ
قرقوده	CARCODA
قرقور	GUERGOUR
قرقوش	GARGOOSH
قرقيش	GARGISH
قرم	CERAM
قرمان	CARMEN
قرمز	GERMEZ
قرمسود	GARMASSOUD
قرمش	CARMASH
قرملي	CARMELE
قرموط	CORMOT
قرن	CARN
قرناس	CARNES
قرناص	CARNES
قرناوي	GARNAOUI
قرنص	CORNOS
قرنفله	GORONFOLAH
قرني	CARNE
قرنيت	CARNET
قرنيس	CARNES
قرهشاي	QARHASHAYI
قرواش	CARWASCH
قروج	CAROJ
قروم	CORUM
قرون	CORON
قريات	GARYAT
قريان	CORIAN
قريب	GAREIB
قريبان	CARAIBEN
قريش	KORAISH
قريشات	CORAISHET
قريشان	GARECHAN
قريشه	CARESCHE
قريشي	GHORAISHI
قريص	CORAIS
قريض	CARED
قريضي	CORIDE
قريطع	CARITA
قريطم	CARITEM
قريطه	CARETA
قريع	CARE
قريعات	CORI'AT
قريعط	CORIAT
قريعه	CAREI'A
قريعيط	CARE'ET
قريق	COURIC
قريم	CORIM
قريمش	JURIMISH
قرين	GHARIN
قريناوي	CARINAWE
قرينس	CORINES
قريني	CARINE
قرينيس	CARENES
قريه	CORAYA
قريو	CARIO
قريوتى	CARIOTI
قريوتي	CEREWETE
قريوي	CAREWE
قزاز	CAZEZ
قزازي	CAZEZE
قزاقزه	CEZACEZA
قزامل	CAZAMEL
قزامي	CEZAME
قزايه	CATHAYA
قزدر	CATHDER
قزع	CATHE'
قزعان	CAZAN
قزق	GEZAG
قزقي	CUZUKI
قزم	CEZAM
قزمار	CEZMAR
قزمول	CATHMOL
قزوعه	JAZZOO
قزيح	COZI
قزيها	GEZEHE
قس	CAS
قسام	GHASSAM
قسامه	CASAME
قسايمه	CASAYEMA
قستى	CESTE
قسطنجى	CASTANGE
قسطندي	COSTANDE
قسطه	CASTA
قسطوس	CASTOS
قسم	GHASAM
قسمة	CASEMA
قسمت	CESMAT
قسوره	CASWARA
قسوس	COSSOS
قسوم	CASOM
قسيس	CESIS
قسيسيه	CASSISIA
قسيط	COSIT
قسيم	JASEM
قشار	CASHER
قشاش	GASHASH
قشاشه	CASHASHA
قشاشي	GACHACHE
قشاط	CASHAT
قشاطه	CASCHETA
قشتم	GASHTAM
قشتي	CESHTE
قشحه	JASHCHE
قشطة	CESHTE
قشعان	JASH'AN
قشعم	GACH'EM
قشقرى	CASHCARE
قشقوش	CASHCOOSH
قشلان	CASHLAN
قشلق	CASHLACK
قشمر	CASHMAR
قشموع	CASHMO
قشمير	CASHMEER
قشو	CASHU
قشوع	CASHO'
قشوم	CASHOM
قشي	CASCHI
قشير	CASHER
قشيرى	KHUSHAIRI
قشيش	CASHISH
قشيط	CASHET
قشيعان	JOSHI'AN
قشيم	GACHEM
قصاب	CASSAB
قصاد	CASED
قصادي	CASADY
قصار	CESAR
قصاروه	GASAROA
قصاص	CASAS
قصاقصه	JESSEJESSE
قصايبه	CASEYEBE
قصب	CASSAB
قصبجي	CASSABGI
قصبه	CASABA
قصة	COSA
قصر	CASR
قصراوي	KASRAWI
قصرى	CASRI
قصرين	CASREN
قصع	CASE
قصعه	CAS'A
قصقص	CASCAS
قصقوص	CASCOS
قصلى	CASLE
قصمول	CASMOL
قصول	CASSOL
قصي	CASEY
قصيباتى	CASEIBATE
قصيباتي	KOSAIBATI
قصيبه	COSIBA
قصيدتي	COSIDETE
قصيري	CASEARI
قصيرين	CESEAREAN
قصيص	CASAIS
قصيلى	CASELE
قصيني	CASINE
قضاء	CADAA'
قضاوي	CADAAWE
قضايا	CADEIA
قضماني	CADMANEE
قضيبه	CADEBA
قضية	CADEIA
قضيعان	CODI'AN
قضيعين	GEDI'EN
قضيمي	CODIME
قطاش	GATECH
قطاطشه	KATAHTISCHE
قطاطو	CATETO
قطاقطه	CATAKITE
قطام	CATAM
قطامس	CATAMIS
قطامش	GATAMICH
قطامن	CETAMEN
قطامي	JETEME
قطامين	CETEMEN
قطاونه	CATAWINA
قطاوي	CATEWE
قطايه	CATAIA
قطب	GHOTB
قطب الدين	GHOTBEDDIN
قطر	CATAR
قطراوي	JATRAWI
قطرميز	JETRAMEZ
قطرنجى	CATRANGE
قطروز	CATROZ
قطروس	CATROS
قطريز	CATRIZ
قطريه	CATRIA
قطش	GATECH
قطشه	CATSCHA
قطع	CETTE
قطعان	GAT'AN
قطفان	CATFAN
قطقاط	CATCAT
قطقط	CATCAT
قطمان	CATMAN
قطمس	CATMAS
قطمير	GATMIR
قطميري	CATMERE
قطن	GATAN
قطنان	CATNAN
قطناني	GETENANI
قطنه	COTNE
قطو	CATW
قطورى	COTORI
قطوري	CATORI
قطوس	CATTUS
قطوش	GATOCH
قطوم	CATOM
قطيان	CATEAN
قطيري	CATTERY
قطيش	CATISH
قطيشات	GATECHAT
قطيط	CATIT
قطيفان	JUTIPHAN
قطيفة	CATIFA
قطيم	COTIM
قطيمان	COTIMAN
قطين	CETIN
قطينه	CATENA
قطيني	CATENE
قظارف	CEZARYF
قظام	CEDAM
قعاقعه	GA'AG'A
قعام	CA'AM
قعاونه	CA'AWINA
قعايمه	GA'AIMA
قعبور	GA'BOR
قعدان	GI'DEN
قعقاع	CA'KE
قعقور	CE'JUR
قعنونه	CA'NONA
قعوار	CO'WER
قعوان	CA'WAN
قعود	CA'UT
